Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     10.0.11.1       YES NVRAM  up                    up      
GigabitEthernet0/1     unassigned      YES unset  up                    up      
GigabitEthernet0/2     unassigned      YES unset  up                    up      
GigabitEthernet0/3     10.0.12.1       YES NVRAM  up                    up      
GigabitEthernet1/0     unassigned      YES unset  up                    up      
GigabitEthernet1/1     unassigned      YES unset  up                    up      
GigabitEthernet1/2     unassigned      YES unset  up                    up      
GigabitEthernet1/3     unassigned      YES unset  up                    up      
Vlan10                 10.1.1.1        YES NVRAM  up                    up      
Vlan20                 10.2.2.1        YES NVRAM  up                    up      
Vlan999                192.168.1.10    YES NVRAM  up                    up      
